AM 4	209.089066	-27.165171	320.283	33.510	29.01	0.94	24.58	0.87	151.19	2.85	-0.538	0.306	-2.485	0.349	-0.46	-10.43	0.60	-15.46	0.50	16.02	0.52	-126.95	32.78	-68.39	38.19	-162.90	39.49	21.12	5.02	52.50	97.64
NGC 5466	211.363709	28.534445	42.150	73.592	16.12	0.16	16.48	0.14	106.82	0.20	-5.336	0.005	-0.809	0.004	0.17	4.80	0.03	3.06	0.03	15.46	0.16	217.90	0.34	-33.47	0.34	225.06	0.22	6.16	0.26	47.79	1.51
NGC 5634	217.405335	-5.976430	342.210	49.260	25.96	0.62	21.84	0.57	-16.07	0.60	-1.690	0.009	-1.489	0.008	-0.04	-7.95	0.39	-5.18	0.12	19.67	0.47	59.05	0.92	-14.26	1.03	-26.56	0.80	3.08	0.25	22.18	0.59
NGC 5694	219.901245	-26.538776	331.056	30.360	34.84	0.74	29.16	0.70	-139.55	0.49	-0.476	0.012	-1.102	0.011	-0.36	-18.13	0.56	-14.55	0.31	17.61	0.37	114.37	1.32	144.79	1.72	-170.18	1.60	29.14	0.71	59.26	1.47
IC 4499	225.077188	-82.213792	307.354	-20.473	18.89	0.25	15.75	0.22	38.41	0.31	0.457	0.007	-0.492	0.007	-0.05	-2.56	0.14	-14.07	0.19	-6.61	0.09	-30.75	0.55	247.81	0.48	-61.21	0.62	6.68	0.19	28.58	0.53
NGC 5824	225.994156	-33.068138	332.555	22.071	31.71	0.60	25.42	0.57	-25.24	0.52	-1.193	0.010	-2.228	0.009	-0.20	-17.90	0.49	-13.55	0.26	11.92	0.23	97.40	0.96	-61.59	1.35	-179.17	1.35	13.94	1.19	34.99	1.61
Pal 5	229.019167	-0.121000	0.839	45.856	21.94	0.51	17.27	0.47	-58.61	0.15	-2.754	0.017	-2.643	0.014	0.01	-7.10	0.36	0.22	0.01	15.74	0.37	49.28	1.16	-144.14	1.59	-10.20	1.13	8.88	1.20	17.54	0.61
NGC 5897	229.351659	-21.010122	342.946	30.294	12.55	0.24	7.41	0.18	101.31	0.22	-5.415	0.006	-3.392	0.006	-0.33	-2.18	0.19	-3.18	0.06	6.33	0.12	34.52	0.27	-129.35	0.34	91.18	0.32	2.45	0.22	8.83	0.29
NGC 5904	229.638412	2.081028	3.859	46.796	7.48	0.06	6.27	0.02	53.50	0.25	4.073	0.006	-9.872	0.006	-0.37	3.07	0.04	0.34	0.00	5.45	0.04	-301.43	0.23	89.62	0.22	-181.13	0.23	3.25	0.03	23.44	0.53
NGC 5927	232.002869	-50.673031	326.604	4.860	8.27	0.11	4.77	0.03	-104.09	0.28	-5.058	0.006	-3.186	0.006	-0.25	1.30	0.09	-4.54	0.06	0.70	0.01	205.00	0.27	114.22	0.25	7.05	0.23	4.03	0.01	5.48	0.07
NGC 5946	233.869051	-50.659713	327.583	4.191	9.64	0.51	5.20	0.26	137.60	0.94	-5.317	0.015	-1.639	0.015	-0.20	0.06	0.43	-5.16	0.27	0.70	0.04	7.20	0.88	-21.45	0.77	98.68	0.70	0.48	0.15	5.13	0.32
NGC 5986	236.512497	-37.786415	337.022	13.268	10.54	0.13	4.85	0.08	101.18	0.43	-4.180	0.017	-4.565	0.017	-0.15	-1.27	0.12	-4.00	0.05	2.42	0.03	8.15	0.53	-71.93	0.78	-13.39	0.81	0.54	0.08	5.03	0.09
FSR 1716	242.625000	-53.748889	329.778	-1.593	7.43	0.27	4.14	0.02	-30.70	0.98	-4.407	0.029	-8.862	0.026	-0.11	1.76	0.23	-3.74	0.13	-0.21	0.01	182.51	0.98	-12.33	0.97	-115.33	0.97	2.35	0.10	4.90	0.13
